Unix Timestamp,Date,day of week,Symbol,Open,High,Low,Close,Volume,R
1474948800.0,2016-09-27 04:00:00,1,BTCUSD,606.14,607.2,601.11,604.04,3734.927149,-0.003470561582308755
1474862400.0,2016-09-26 04:00:00,0,BTCUSD,600.0,607.58,599.99,606.14,2300.440733,0.010181327273750715
1474776000.0,2016-09-25 04:00:00,6,BTCUSD,601.48,601.48,598.19,600.0,1486.602977,-0.002463629437972993
1474689600.0,2016-09-24 04:00:00,5,BTCUSD,602.0,603.28,598.51,601.48,1621.351106,-0.0008641606547016594
1474603200.0,2016-09-23 04:00:00,4,BTCUSD,595.14,602.0,595.13,602.0,4945.695072,0.011460773322863792
1474516800.0,2016-09-22 04:00:00,3,BTCUSD,595.7,596.17,593.82,595.14,2933.703424,-0.0009405126486844786
1474430400.0,2016-09-21 04:00:00,2,BTCUSD,597.2,599.0,592.93,595.7,4171.79306,-0.0025148810303935922
1474344000.0,2016-09-20 04:00:00,1,BTCUSD,607.84,608.69,591.95,597.2,881.686113,-0.017659623774280066
1474257600.0,2016-09-19 04:00:00,0,BTCUSD,609.98,610.3,607.23,607.84,1762.894764,-0.003514480305293854
1474171200.0,2016-09-18 04:00:00,6,BTCUSD,606.38,609.99,606.37,609.98,246.282666,0.0059193174906932355
1474084800.0,2016-09-17 04:00:00,5,BTCUSD,607.4,607.61,606.36,606.38,384.0796631,-0.0016807003577320645
1473998400.0,2016-09-16 04:00:00,4,BTCUSD,606.97,609.03,606.26,607.4,1126.003653,0.0007081861672658208
1473912000.0,2016-09-15 04:00:00,3,BTCUSD,605.25,608.98,605.25,606.97,1151.619778,0.0028377706262145558
1473825600.0,2016-09-14 04:00:00,2,BTCUSD,607.51,610.73,604.71,605.25,1312.728355,-0.0037270401664061883
1473739200.0,2016-09-13 04:00:00,1,BTCUSD,607.99,610.78,605.84,607.51,732.9655722,-0.0007897984779124236
1473652800.0,2016-09-12 04:00:00,0,BTCUSD,606.81,609.13,604.08,607.99,777.3002602,0.0019427072293727457
1473566400.0,2016-09-11 04:00:00,6,BTCUSD,622.11,628.79,591.93,606.81,811.7342848,-0.024901198744745005
1473480000.0,2016-09-10 04:00:00,5,BTCUSD,620.01,623.8,619.33,622.11,324.4539551,0.003381319036534814
